creator_id,date,views,likes,comments,shares,orders,gmv,engagement_rate
CR0003,2026-03-12,179224,18178,1474,1282,14881,2902530.06,10.14
CR0003,2026-03-13,166490,9497,1181,630,6640,855871.06,5.7
CR0003,2026-03-14,195337,13625,1925,605,8719,761202.16,6.98
CR0003,2026-03-15,190601,19295,1091,1207,9332,1067315.02,10.12
CR0003,2026-03-16,208504,9515,1308,304,1559,45367.95,4.56
CR0003,2026-03-17,183870,8811,765,421,9887,1409998.76,4.79
CR0003,2026-03-18,169971,12576,1189,976,7723,633014.31,7.4
CR0003,2026-03-19,242370,12913,1718,328,1588,275816.29,5.33
CR0003,2026-03-20,235879,11626,838,389,6647,747060.46,4.93
CR0003,2026-03-21,320681,37533,4437,1818,4158,682559.26,11.7
CR0003,2026-03-22,219973,18642,2690,1170,10175,1843577.07,8.48
CR0003,2026-03-23,246132,17551,1260,669,12844,1608167.55,7.13
CR0003,2026-03-24,143476,17209,2523,1210,7736,548341.9,11.99
CR0003,2026-03-25,226697,16629,1390,608,5769,796707.72,7.34
CR0003,2026-03-26,260036,23047,1586,1176,3883,676872.0,8.86
CR0003,2026-03-27,243098,16134,1322,458,2856,209084.43,6.64
CR0003,2026-03-28,332211,22063,2728,1213,34815,2846824.95,6.64
CR0003,2026-03-29,301832,27698,3152,1344,19653,1455011.21,9.18
CR0003,2026-03-30,165416,14752,1561,555,8817,1327254.7,8.92
CR0003,2026-03-31,214006,23997,3472,1775,8626,519276.8,11.21
CR0003,2026-04-01,253272,17182,2382,726,12446,512783.47,6.78
CR0003,2026-04-02,151964,13235,1429,757,4544,188879.85,8.71
CR0003,2026-04-03,230520,17908,1635,1293,7071,577563.38,7.77
CR0003,2026-04-04,350115,38637,5743,1104,16761,579026.58,11.04
CR0003,2026-04-05,244216,29012,2359,681,7214,1148740.11,11.88
CR0003,2026-04-06,218835,9685,1244,646,3894,378861.86,4.43
CR0003,2026-04-07,200758,14648,739,762,17800,3213988.48,7.3
CR0003,2026-04-08,242497,18864,976,381,10805,1921748.39,7.78
CR0003,2026-04-09,186807,7331,735,281,1485,283224.26,3.92
CR0003,2026-04-10,205394,15779,1615,726,7559,1506546.53,7.68
CR0003,2026-04-11,273204,26640,1771,1982,9479,572321.6,9.75
CR0003,2026-04-12,355497,17421,909,875,8017,1303427.01,4.9
CR0003,2026-04-13,196365,17207,2187,987,5549,218965.88,8.76
CR0003,2026-04-14,255582,8776,540,409,3588,525054.57,3.43
CR0003,2026-04-15,175459,16092,819,728,3055,403576.5,9.17
CR0003,2026-04-16,239265,16196,2265,821,9970,1607730.41,6.77
CR0003,2026-04-17,213685,18122,2315,1266,14321,1342681.42,8.48
CR0003,2026-04-18,221928,17606,2483,1079,7114,158605.86,7.93
CR0003,2026-04-19,210412,8403,902,417,20585,689776.15,3.99
CR0003,2026-04-20,244138,27204,3113,1289,14627,424394.14,11.14
CR0003,2026-04-21,256220,27844,3765,1158,13612,556216.13,10.87
CR0003,2026-04-22,261666,28816,1468,815,11991,2170550.52,11.01
CR0003,2026-04-23,275677,14927,1840,632,5751,529351.03,5.41
CR0003,2026-04-24,211319,22233,2645,1082,11576,579033.5,10.52
CR0003,2026-04-25,220310,21012,3113,1484,5366,573525.98,9.54
CR0003,2026-04-26,294899,20476,2275,1366,21214,3784387.62,6.94
CR0003,2026-04-27,248027,27347,2688,1347,16829,528438.82,11.03
CR0003,2026-04-28,239027,7436,1017,382,18151,1094819.05,3.11
CR0003,2026-04-29,279041,30299,3087,1857,13868,2091257.71,10.86
CR0003,2026-04-30,217169,19487,2224,563,20512,2673216.6,8.97
CR0003,2026-05-01,155522,17744,1784,854,4626,718220.73,11.41
CR0003,2026-05-02,255693,15285,1189,770,10903,1821657.92,5.98
CR0003,2026-05-03,214540,15012,1610,379,7859,1544456.44,7.0
CR0003,2026-05-04,253823,8020,724,177,16301,2649254.68,3.16
CR0003,2026-05-05,283303,24754,3441,1330,15121,1230150.15,8.74
CR0003,2026-05-06,265478,27475,3693,1096,18606,2772265.2,10.35
CR0003,2026-05-07,204297,14449,863,860,1773,237686.63,7.07
CR0003,2026-05-08,263105,20862,1823,550,19004,3191359.94,7.93
CR0003,2026-05-09,332692,22233,1677,706,8300,488090.72,6.68
CR0003,2026-05-10,347654,16392,1373,1072,5222,736226.38,4.72
CR0003,2026-05-11,173567,19137,1832,1059,11508,239145.14,11.03
CR0003,2026-05-12,256541,20469,1909,1127,24552,4513459.65,7.98
CR0003,2026-05-13,251034,11454,1506,300,15557,1212386.21,4.56
CR0003,2026-05-14,277167,18758,2080,1154,6812,556639.75,6.77
CR0003,2026-05-15,198074,20289,1294,1139,14446,2481149.58,10.24
CR0003,2026-05-16,302776,17637,2181,938,5418,805056.37,5.83
CR0003,2026-05-17,327909,37023,2342,2318,17394,2046377.42,11.29
CR0003,2026-05-18,245933,23100,2912,1241,18022,2664052.66,9.39
CR0003,2026-05-19,251502,27777,2871,2017,5102,199818.22,11.04
CR0003,2026-05-20,211820,7366,409,265,20421,2920412.5,3.48
CR0003,2026-05-21,180068,6407,822,206,7403,751160.28,3.56
CR0003,2026-05-22,244936,22239,2361,744,12039,1347958.85,9.08
CR0003,2026-05-23,351352,32553,3883,742,11822,1913509.81,9.27
CR0003,2026-05-24,331986,38817,2149,2508,11004,1924380.1,11.69
CR0003,2026-05-25,222403,11186,1268,699,8651,1322919.62,5.03
CR0003,2026-05-26,188684,17970,1246,843,8545,1651283.18,9.52
CR0003,2026-05-27,263728,10744,580,394,4967,855727.45,4.07
CR0004,2026-02-27,4889,351,50,7,402,64022.11,7.2
CR0004,2026-02-28,9739,1031,82,69,270,39793.32,10.59
CR0004,2026-03-01,9216,1070,109,71,203,18800.86,11.61
CR0004,2026-03-02,6365,697,81,27,282,37023.92,10.95
CR0004,2026-03-03,6907,556,69,32,105,6642.57,8.05
CR0004,2026-03-04,7629,859,63,19,484,79045.52,11.27
CR0004,2026-03-05,5410,287,35,6,317,35686.48,5.31
CR0004,2026-03-06,7097,523,41,30,133,4957.2,7.38
CR0004,2026-03-07,11801,1175,121,67,329,19204.23,9.96
CR0004,2026-03-08,10243,1077,75,75,909,89393.6,10.52
CR0004,2026-03-09,8457,308,36,6,273,9059.41,3.65
CR0004,2026-03-10,5745,302,17,20,384,38861.81,5.27
CR0004,2026-03-11,6728,393,34,10,85,2667.54,5.85
CR0004,2026-03-12,8208,279,37,11,293,42033.24,3.41
CR0004,2026-03-13,7626,421,60,18,273,13141.74,5.53
CR0004,2026-03-14,7769,755,97,53,270,19885.55,9.72
CR0004,2026-03-15,11531,1347,184,79,453,80388.5,11.69
CR0004,2026-03-16,5662,191,20,8,160,9249.52,3.38
CR0004,2026-03-17,8277,789,56,58,370,19653.92,9.53
CR0004,2026-03-18,7753,408,25,24,213,33054.94,5.27
CR0004,2026-03-19,9396,746,85,18,402,22325.14,7.94
CR0004,2026-03-20,7628,882,75,53,158,5145.36,11.56
CR0004,2026-03-21,7736,570,47,33,295,36000.37,7.37
CR0004,2026-03-22,11253,1308,87,50,886,119920.93,11.63
CR0004,2026-03-23,6341,395,46,15,261,41618.55,6.24
CR0004,2026-03-24,7280,289,33,7,286,51603.97,3.98
CR0004,2026-03-25,6014,577,65,36,588,78611.35,9.6
CR0004,2026-03-26,8751,718,91,23,83,15016.15,8.21
CR0004,2026-03-27,7560,671,43,29,596,103876.57,8.89
CR0004,2026-03-28,7506,563,33,23,59,11417.68,7.51
CR0004,2026-03-29,12427,1137,142,32,280,34116.95,9.16
CR0004,2026-03-30,9090,392,48,29,147,9072.1,4.32
CR0004,2026-03-31,6393,326,38,16,371,68717.49,5.11
CR0004,2026-04-01,9170,308,35,8,808,55937.16,3.36
CR0004,2026-04-02,8562,702,75,29,339,61589.79,8.21
CR0004,2026-04-03,5594,294,43,9,283,23235.95,5.26
CR0004,2026-04-04,11474,1260,63,91,341,38402.54,10.98
CR0004,2026-04-05,8494,369,24,20,662,62645.37,4.35
CR0004,2026-04-06,6771,272,31,13,398,37396.82,4.02
CR0004,2026-04-07,6392,265,28,7,407,18899.34,4.15
CR0004,2026-04-08,6054,684,69,30,536,95478.55,11.3
CR0004,2026-04-09,8622,895,129,29,439,46841.44,10.39
CR0004,2026-04-10,6321,423,27,23,452,50599.09,6.7
CR0004,2026-04-11,7927,726,103,40,103,4511.23,9.17
CR0004,2026-04-12,7043,542,76,33,528,27422.2,7.7
CR0004,2026-04-13,9489,796,109,41,352,48819.12,8.4
CR0004,2026-04-14,9510,746,37,56,509,48723.07,7.85
CR0004,2026-04-15,9404,872,81,66,521,43291.56,9.28
CR0004,2026-04-16,9099,1016,135,55,273,43094.31,11.17
CR0004,2026-04-17,9605,360,39,18,136,20924.45,3.75
CR0004,2026-04-18,7072,544,55,23,224,20964.63,7.7
CR0004,2026-04-19,7686,525,56,18,388,50493.75,6.83
CR0004,2026-04-20,10043,660,46,35,334,40292.72,6.58
CR0004,2026-04-21,7695,915,98,60,185,32465.56,11.9
CR0004,2026-04-22,6006,304,39,23,103,16633.94,5.07
CR0004,2026-04-23,9209,785,92,18,389,64101.94,8.53
CR0004,2026-04-24,9333,676,74,17,230,29813.79,7.25
CR0004,2026-04-25,11553,1314,118,78,508,15414.42,11.38
CR0004,2026-04-26,11877,543,53,11,1181,133769.02,4.58
CR0004,2026-04-27,6423,645,65,39,400,33901.28,10.06
CR0004,2026-04-28,8611,1014,59,37,382,35518.81,11.78
CR0004,2026-04-29,6474,203,24,15,384,46325.95,3.14
CR0004,2026-04-30,8303,508,66,17,613,56832.56,6.13
CR0004,2026-05-01,5569,254,25,13,211,8664.0,4.58
CR0004,2026-05-02,10405,553,57,37,269,23638.23,5.32
CR0004,2026-05-03,10241,531,44,35,825,144510.46,5.19
CR0004,2026-05-04,7885,419,36,28,240,39366.97,5.32
CR0004,2026-05-05,7567,467,48,28,169,15515.47,6.18
CR0004,2026-05-06,9197,558,58,17,211,26009.61,6.08
CR0004,2026-05-07,6491,630,90,19,293,18626.06,9.72
CR0004,2026-05-08,6902,349,46,24,308,12806.06,5.06
CR0004,2026-05-09,7817,906,89,18,797,137595.6,11.6
CR0004,2026-05-10,9673,564,78,41,376,19896.77,5.84
CR0004,2026-05-11,9360,711,63,46,182,17503.24,7.6
CR0004,2026-05-12,10230,336,28,24,629,26208.09,3.29
CR0004,2026-05-13,8199,478,24,28,180,15315.92,5.84
CR0004,2026-05-14,9890,463,35,16,642,34093.06,4.68
CR0004,2026-05-15,7770,526,65,22,281,34521.9,6.77
CR0004,2026-05-16,13653,1252,164,79,955,166299.47,9.17
CR0004,2026-05-17,8686,886,109,42,85,3757.42,10.2
CR0004,2026-05-18,10119,877,90,34,334,58293.14,8.68
CR0004,2026-05-19,5977,232,15,7,222,8288.22,3.89
CR0004,2026-05-20,9424,503,43,26,530,49881.99,5.34
CR0004,2026-05-21,7498,683,75,37,432,84796.05,9.12
CR0004,2026-05-22,7183,425,42,28,171,22308.57,5.93
CR0004,2026-05-23,10511,1220,166,71,726,94536.69,11.61
CR0004,2026-05-24,10149,1132,65,45,373,55158.5,11.16
CR0004,2026-05-25,8820,578,80,38,833,94769.1,6.56
CR0004,2026-05-26,8063,363,49,9,160,24623.61,4.51
CR0004,2026-05-27,9574,468,41,12,704,20900.76,4.9
CR0005,2026-02-27,833,64,9,1,25,4692.15,7.72
CR0005,2026-02-28,872,44,5,2,16,811.35,5.06
CR0005,2026-03-01,675,41,5,2,39,7342.7,6.21
CR0005,2026-03-02,742,31,4,1,36,5572.95,4.22
CR0005,2026-03-03,887,61,6,3,64,3896.52,6.91
CR0005,2026-03-04,546,31,2,0,6,938.96,5.77
CR0005,2026-03-05,568,31,3,1,31,2291.83,5.58
CR0005,2026-03-06,844,85,9,5,28,5006.1,10.18
CR0005,2026-03-07,912,47,5,2,44,1507.34,5.25
CR0005,2026-03-08,1022,78,10,4,46,6289.22,7.65
CR0005,2026-03-09,746,40,2,0,8,815.69,5.42
CR0005,2026-03-10,713,66,6,2,21,503.65,9.3
CR0005,2026-03-11,944,52,3,2,5,113.25,5.54
CR0005,2026-03-12,612,41,5,2,26,668.53,6.78
CR0005,2026-03-13,553,53,3,1,21,1106.46,9.76
CR0005,2026-03-14,1191,62,5,1,113,10086.79,5.25
CR0005,2026-03-15,1240,64,9,2,45,6294.66,5.22
CR0005,2026-03-16,613,39,5,2,15,2310.76,6.5
CR0005,2026-03-17,767,31,3,1,14,1960.07,4.1
CR0005,2026-03-18,959,49,4,1,68,6204.69,5.12
CR0005,2026-03-19,633,74,7,4,24,3809.84,11.72
CR0005,2026-03-20,637,47,5,1,62,1910.18,7.5
CR0005,2026-03-21,892,39,4,1,32,3856.1,4.39
CR0005,2026-03-22,1064,65,9,4,10,1503.92,6.13
CR0005,2026-03-23,642,21,2,1,30,3660.19,3.36
CR0005,2026-03-24,776,45,4,3,54,2638.54,5.91
CR0005,2026-03-25,772,54,7,2,41,4553.97,7.04
CR0005,2026-03-26,866,94,10,3,37,1161.86,10.95
CR0005,2026-03-27,975,101,6,6,40,2838.53,10.37
CR0005,2026-03-28,938,55,3,3,17,886.63,5.9
CR0005,2026-03-29,714,28,1,0,34,3678.25,3.96
CR0005,2026-03-30,823,68,3,2,25,4644.66,8.31
CR0005,2026-03-31,839,95,12,4,39,5999.21,11.36
CR0005,2026-04-01,949,98,12,2,51,7760.88,10.4
CR0005,2026-04-02,925,34,2,1,11,982.96,3.7
CR0005,2026-04-03,630,56,5,4,32,4937.58,8.91
CR0005,2026-04-04,1167,95,11,5,28,4554.01,8.19
CR0005,2026-04-05,1038,78,9,4,77,14048.44,7.54
CR0005,2026-04-06,800,95,12,4,57,4458.61,11.97
CR0005,2026-04-07,657,51,4,2,35,3550.14,7.91
CR0005,2026-04-08,996,29,1,1,7,1261.81,3.0
CR0005,2026-04-09,550,65,4,2,50,8401.04,11.86
CR0005,2026-04-10,981,74,7,4,15,721.49,7.6
CR0005,2026-04-11,877,96,7,3,29,3550.52,11.01
CR0005,2026-04-12,849,31,2,1,52,7618.66,3.69
CR0005,2026-04-13,939,36,4,0,55,8823.21,3.86
CR0005,2026-04-14,990,59,8,2,46,7298.83,6.01
CR0005,2026-04-15,909,96,13,5,27,3088.5,10.65
